test,question_id,question_text,reference_answer,section,topic
posttest1,sectionC_c2,AI is a valuable assistant for summarizing and connecting different parts of the lesson.,,Section C,
posttest1,sectionC_c3,I feel more capable of solving technical exercises when I have AI support.,,Section C,
posttest1,sectionC_c4,I am confident in my ability to explore new technical topics with AI as a guide.,,Section C,
posttest1,sectionC_c5,I proactively verify AI-generated information against official textbooks or slides.,,Section C,
posttest1,sectionC_c6,I can identify if an AI's technical explanation is illogical or incorrect.,,Section C,
posttest1,sectionC_c7,I use AI to get hints or ideas rather than just asking for the final answer.,,Section C,
posttest1,sectionC_c8,I prioritize my own logical reasoning over the solutions suggested by AI.,,Section C,
posttest1,sectionC_c9,"I trust AI's support, but I take full responsibility for the accuracy of my work.",,Section C,
posttest1,sectionC_c10,I am ready to apply this AI-supported learning style to my future studies.,,Section C,
posttest1,sectionB_logistic_regression_q1,What is the primary difference between Linear and Logistic Regression regarding the dependent variable (Y)?,A,Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q2,Which function is applied in Logistic Regression to map the output into a probability range between 0 and 1?,C,Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q3,Why does Logistic Regression use the Sigmoid function instead of directly using the linear equation?,B,Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q4,"In Logistic Regression, what is the formula for the log-odds (logit)?",A,Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q5,"If a Logistic Regression model provides a log-odds value of 0, what is the probability (p)?",B,Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q6,Which cost function is typically minimized for Logistic Regression?,C,Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q7,How should a coefficient β be interpreted in Logistic Regression?,C,Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q8,"If data points are perfectly separated by a linear boundary, what happens to unregularized coefficients?",B,Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q9,"In predicting machine failure, which metric should be prioritized?","Recall (minimizing False Negatives) should be prioritized. A False Negative (missing a machine failure) is usually more costly and dangerous than a False Positive (predicting failure when the machine is fine), as failure can lead to severe operational damage or accidents.",Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q10,How to adapt Binary Logistic Regression for three or more mutually exclusive classes?,"The problem requires Multinomial Logistic Regression (also known as Softmax Regression), which generalizes the sigmoid function to handle multiple classes simultaneously, or using the One-vs-Rest (OvR) approach, which trains separate binary Logistic Regression models for each class against all others.",Section B,Logistic Regression
posttest1,sectionB_recommender_system_q1,Which accuracy metric is specifically noted for placing a higher emphasis on larger deviations between predicted and actual ratings?,B,Section B,Recommender System
posttest1,sectionB_recommender_system_q2,"In the context of Content-based Filtering, what does the Inverse Document Frequency (IDF) aim to achieve?",B,Section B,Recommender System
posttest1,sectionB_recommender_system_q3,Why is Item-based Collaborative Filtering (I2I) often preferred over User-based (U2U) in large-scale commercial systems like Amazon?,C,Section B,Recommender System
posttest1,sectionB_recommender_system_q4,"From the ""Recommendation Perspective,"" what is the primary goal of suggesting items from the ""Long Tail""?",B,Section B,Recommender System
posttest1,sectionB_recommender_system_q5,"If a keyword i appears in every single document in a collection, what will its TF-IDF weight be?",A,Section B,Recommender System
posttest1,sectionB_recommender_system_q6,"In User-based CF, why do we add the weighted difference of neighbors' ratings to the user's own average rating?",B,Section B,Recommender System
posttest1,sectionB_recommender_system_q7,"What is the fundamental disadvantage of using the ""Memory-based"" approach in a real-world system with millions of customers?",C,Section B,Recommender System
posttest1,sectionB_recommender_system_q8,"How does ""Recursive Collaborative Filtering"" address the challenge of sparse datasets?",C,Section B,Recommender System
posttest1,sectionB_recommender_system_q9,A researcher finds very high RMSE but excellent user satisfaction. Why might this happen?,"Filter bubbles isolate users in ideological echo chambers, severely reducing information diversity and reinforcing confirmation bias or societal polarization.",Section B,Recommender System
posttest1,sectionB_recommender_system_q10,"In a Constraint-based system, what is the purpose of calculating ""Minimal Diagnoses""?","Use Content-Based filtering initially to generate recommendations using item metadata, then seamlessly integrate Collaborative Filtering as interaction data accumulates.",Section B,Recommender System
posttest1,sectionB_association_rules_mining_q1,"According to the formal definition of an association rule X -> Y, which condition must be met regarding the relationship between set X and set Y?",B,Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q2,"In the apriori_gen procedure, what is the specific condition for joining two (k-1)-itemsets (L1 and L2) to create a candidate k-itemset?",C,Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q3,"Why does the Apriori algorithm perform a ""Prune step"" by checking if all (k-1)-subsets of a candidate are frequent?",B,Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q4,The ARM problem is decomposed into two sub-problems. What is the primary focus of the first sub-problem?,C,Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q5,"Given L2 = { {I1, I2}, {I1, I3}, {I1, I5}, {I2, I3} }. During the generation of C3, which candidate is generated by the Join step but then Pruned?",D,Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q6,"Calculate the Confidence of the rule {I1, I3} -> {I2} based on typical transaction data.",C,Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q7,"If the minimum support (minSup) is significantly decreased, how does it affect the computational complexity of the Apriori algorithm?",B,Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q8,Compare the Support of a rule X -> Y and the Support of its antecedent itemset X. Which statement is always true?,B,Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q9,A retail manager discovers a rule with high Confidence but very low Support. How should they evaluate this result?,B,Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q10,"How would you modify the has_infrequent_subset procedure to find ""Closed Itemsets""?",Assign risk-severity weights or specialized interest metrics to drug interactions so critical pairs are prioritized regardless of low purchase frequency (support).,Section B,Association Rules Mining
posttest1,sectionB_latent_dirichlet_allocation_q1,"In Latent Dirichlet Allocation (LDA), what does each topic represent?",B,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q2,What is the role of the Dirichlet distribution in LDA?,C,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q3,Why is LDA considered a generative probabilistic model?,B,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q4,What is the key assumption LDA makes about documents?,C,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q5,"If a document has topic distribution θ = [0.7 Sports, 0.3 Politics], what does this imply?",B,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q6,"During Gibbs Sampling in LDA, what is iteratively updated?",B,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q7,What happens if the number of topics K is too large?,B,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q8,What is a primary ethical concern when using LDA on private messages without consent?,B,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q9,Which factor is most critical from an ethical standpoint when deploying LDA for user profiling?,"Mentions at least one valid reason: wrong K, poor preprocessing, bad parameters, or unsuitable data.",Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q10,How would you modify an LDA-based system to address privacy concerns?,Provides one real-world application + brief correct explanation of how LDA is used.,Section B,Latent Dirichlet Allocation
posttest1,sectionB_linear_regression_q1,What is the primary goal of Simple Linear Regression?,B,Section B,Linear Regression
posttest1,sectionB_linear_regression_q2,"In the equation Y = β0 + β1X + ϵ, what does ϵ represent?",C,Section B,Linear Regression
posttest1,sectionB_linear_regression_q3,What is the fundamental difference between Simple and Multiple Linear Regression?,B,Section B,Linear Regression
posttest1,sectionB_linear_regression_q4,Explain the meaning of an R-squared value of 0.85 in a model.,B,Section B,Linear Regression
posttest1,sectionB_linear_regression_q5,"Model Price = 50,000 + 100 * SqFt. If a house is 2,000 SqFt, what is the predicted price?",A,Section B,Linear Regression
posttest1,sectionB_linear_regression_q6,Which loss function is most commonly minimized using Ordinary Least Squares (OLS)?,C,Section B,Linear Regression
posttest1,sectionB_linear_regression_q7,"If you observe a parabolic shape in residual plot, what does it indicate?",B,Section B,Linear Regression
posttest1,sectionB_linear_regression_q8,Why check for multicollinearity in Multiple Linear Regression?,B,Section B,Linear Regression
posttest1,sectionB_linear_regression_q9,High-degree polynomial versus simple linear model for future prediction: which generalize better?,"The simple linear regression model is generally preferred for generalization. The high-degree polynomial model, while perfectly fitting the training data, is prone to overfitting, which leads to poor performance on new, unseen data.",Section B,Linear Regression
posttest1,sectionB_linear_regression_q10,Propose a transformation for X when the relationship is exponential.,"Example Transformation: Transform x to logX (logarithmic transformation). This is necessary because Linear Regression assumes a linear relationship between X and Y. The log transformation effectively linearizes the initial exponential relationship, allowing the standard Linear Regression assumptions to be met.",Section B,Linear Regression
posttest1,sectionB_word_embedding_q1,What is the purpose of Word Embedding?,B,Section B,Word Embedding
posttest1,sectionB_word_embedding_q2,Which model is commonly used to learn embeddings?,B,Section B,Word Embedding
posttest1,sectionB_word_embedding_q3,Why are embeddings better than one-hot vectors?,B,Section B,Word Embedding
posttest1,sectionB_word_embedding_q4,What is the difference between CBOW and Skip-gram?,B,Section B,Word Embedding
posttest1,sectionB_word_embedding_q5,"""king - man + woman ≈ ?""",B,Section B,Word Embedding
posttest1,sectionB_word_embedding_q6,"If two words share similar contexts, what happens?",B,Section B,Word Embedding
posttest1,sectionB_word_embedding_q7,What is a limitation of Word2Vec?,B,Section B,Word Embedding
posttest1,sectionB_word_embedding_q8,"A Word2Vec model learns associations like ""doctor → male"" and ""nurse → female"". What does this indicate?",B,Section B,Word Embedding
posttest1,sectionB_word_embedding_q9,Why is bias in word embeddings problematic in real-world applications?,"Mentions at least one: poor training data, small corpus, bad hyperparameters, lack of preprocessing",Section B,Word Embedding
posttest1,sectionB_word_embedding_q10,How would you mitigate bias in word embeddings?,"Provides valid application + correct explanation (e.g., search, recommendation, NLP tasks)",Section B,Word Embedding
posttest2,sectionA_yearOfStudy,1. Current year of study,,Section A,
