test,question_id,question_text,reference_answer,section,topic
posttest1,sectionB_fuzzy_logic_q8,"Which system is generally faster for real-time control, Mamdani or Sugeno?","C. Sugeno, because it avoids computationally intensive integration required by COG",Section B,Fuzzy Logic
posttest1,sectionB_fuzzy_logic_q9,"Evaluate the trade-off when selecting a narrow versus a wide Membership Function for ""High"" temperature.","B. Narrow MF increases sensitivity, potentially leading to oscillatory control",Section B,Fuzzy Logic
posttest1,sectionB_fuzzy_logic_q10,Design a fuzzy rule linking highly certain input state with moderately conservative output action.,C. IF Input_Certainty IS Very_High THEN Output_Action IS Cautious,Section B,Fuzzy Logic
posttest1,sectionB_deep_neural_networks_q1,What defines a deep neural network?,B. Multiple hidden layers,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q2,Which activation function is widely used in modern DNNs?,B. ReLU,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q3,Why are non-linear activation functions important?,B. Enable learning complex patterns,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q4,What is the purpose of backpropagation?,B. Update weights using gradients,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q5,What is computed before activation in a neuron?,C. Weighted sum + bias,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q6,What happens if learning rate is too high?,C. Divergence of loss,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q7,What is the vanishing gradient problem?,B. Gradients approach zero in deep layers,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q8,A DNN shows lower acceptance rates for a specific demographic. What is the likely issue?,C. Algorithmic bias in training data,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q9,A highly accurate DNN cannot explain its decisions. What is the main concern?,C. Lack of interpretability and trust,Section B,Deep Neural Networks
posttest1,sectionB_deep_neural_networks_q10,How would you improve fairness in a DNN used for loan approval?,B. Remove sensitive attributes and apply fairness-aware training,Section B,Deep Neural Networks
posttest1,sectionC_c1,AI tools help me clarify complex technical concepts more effectively.,,Section C,
posttest1,sectionC_c2,AI is a valuable assistant for summarizing and connecting different parts of the lesson.,,Section C,
posttest1,sectionC_c3,I feel more capable of solving technical exercises when I have AI support.,,Section C,
posttest1,sectionC_c4,I am confident in my ability to explore new technical topics with AI as a guide.,,Section C,
posttest1,sectionC_c5,I proactively verify AI-generated information against official textbooks or slides.,,Section C,
posttest1,sectionC_c6,I can identify if an AI's technical explanation is illogical or incorrect.,,Section C,
posttest1,sectionC_c7,I use AI to get hints or ideas rather than just asking for the final answer.,,Section C,
posttest1,sectionC_c8,I prioritize my own logical reasoning over the solutions suggested by AI.,,Section C,
posttest1,sectionC_c9,"I trust AI's support, but I take full responsibility for the accuracy of my work.",,Section C,
posttest1,sectionC_c10,I am ready to apply this AI-supported learning style to my future studies.,,Section C,
posttest1,sectionB_logistic_regression_q1,What is the primary difference between Linear and Logistic Regression regarding the dependent variable (Y)?,A. Linear predicts continuous; Logistic predicts probabilities for binary outcomes,Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q2,Which function is applied in Logistic Regression to map the output into a probability range between 0 and 1?,C. Sigmoid,Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q3,Why does Logistic Regression use the Sigmoid function instead of directly using the linear equation?,B. To transform output into a valid probability (0 to 1),Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q4,"In Logistic Regression, what is the formula for the log-odds (logit)?",A. ln(p / (1-p)),Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q5,"If a Logistic Regression model provides a log-odds value of 0, what is the probability (p)?",B. 0.5,Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q6,Which cost function is typically minimized for Logistic Regression?,C. Cross-Entropy Loss (or Log Loss),Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q7,How should a coefficient β be interpreted in Logistic Regression?,C. One-unit increase in X increases log-odds of positive class by β,Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q8,"If data points are perfectly separated by a linear boundary, what happens to unregularized coefficients?",B. Coefficients approach infinity,Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q9,"In predicting machine failure, which metric should be prioritized?","B. Recall, to minimize False Negatives (missed failures)",Section B,Logistic Regression
posttest1,sectionB_logistic_regression_q10,How to adapt Binary Logistic Regression for three or more mutually exclusive classes?,C. Use Multinomial Logistic Regression (Softmax) or One-vs-Rest,Section B,Logistic Regression
posttest1,sectionB_recommender_system_q1,Which accuracy metric is specifically noted for placing a higher emphasis on larger deviations between predicted and actual ratings?,B. Root Mean Square Error (RMSE),Section B,Recommender System
posttest1,sectionB_recommender_system_q2,"In the context of Content-based Filtering, what does the Inverse Document Frequency (IDF) aim to achieve?",B. Reducing the weight of terms that appear in almost all documents,Section B,Recommender System
posttest1,sectionB_recommender_system_q3,Why is Item-based Collaborative Filtering (I2I) often preferred over User-based (U2U) in large-scale commercial systems like Amazon?,C. Item relationships are more stable and the number of items is often smaller than users,Section B,Recommender System
posttest1,sectionB_recommender_system_q4,"From the ""Recommendation Perspective,"" what is the primary goal of suggesting items from the ""Long Tail""?",B. To identify widely unknown items that users might actually like (Serendipity),Section B,Recommender System
posttest1,sectionB_recommender_system_q5,"If a keyword i appears in every single document in a collection, what will its TF-IDF weight be?",A. 0,Section B,Recommender System
posttest1,sectionB_recommender_system_q6,"In User-based CF, why do we add the weighted difference of neighbors' ratings to the user's own average rating?",B. To account for differences in individual rating behavior (bias),Section B,Recommender System
posttest1,sectionB_recommender_system_q7,"What is the fundamental disadvantage of using the ""Memory-based"" approach in a real-world system with millions of customers?",C. It does not scale because the entire matrix must be used at run-time,Section B,Recommender System
posttest1,sectionB_recommender_system_q8,"How does ""Recursive Collaborative Filtering"" address the challenge of sparse datasets?",C. By predicting ratings for neighbors who haven't rated an item yet to use as input,Section B,Recommender System
posttest1,sectionB_recommender_system_q9,A researcher finds very high RMSE but excellent user satisfaction. Why might this happen?,"B. The system may excel at explaining results and giving users a ""good feeling""",Section B,Recommender System
posttest1,sectionB_recommender_system_q10,"In a Constraint-based system, what is the purpose of calculating ""Minimal Diagnoses""?",C. To find the smallest set of user requirements to relax to make a recommendation possible,Section B,Recommender System
posttest1,sectionB_association_rules_mining_q1,"According to the formal definition of an association rule X -> Y, which condition must be met regarding the relationship between set X and set Y?",B. X and Y must be disjoint (X ∩ Y = ∅),Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q2,"In the apriori_gen procedure, what is the specific condition for joining two (k-1)-itemsets (L1 and L2) to create a candidate k-itemset?","C. Their first (k-2) items must be identical, and L1[k-1] < L2[k-1]",Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q3,"Why does the Apriori algorithm perform a ""Prune step"" by checking if all (k-1)-subsets of a candidate are frequent?","B. Because if any subset is infrequent, the superset cannot possibly be frequent",Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q4,The ARM problem is decomposed into two sub-problems. What is the primary focus of the first sub-problem?,C. Finding all itemsets whose support count is >= minSup,Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q5,"Given L2 = { {I1, I2}, {I1, I3}, {I1, I5}, {I2, I3} }. During the generation of C3, which candidate is generated by the Join step but then Pruned?",D. Both B and C,Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q6,"Calculate the Confidence of the rule {I1, I3} -> {I2} based on typical transaction data.",C. 66.7%,Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q7,"If the minimum support (minSup) is significantly decreased, how does it affect the computational complexity of the Apriori algorithm?","B. Complexity increases because more itemsets satisfy the threshold, leading to more iterations",Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q8,Compare the Support of a rule X -> Y and the Support of its antecedent itemset X. Which statement is always true?,B. Support(X -> Y) <= Support(X),Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q9,A retail manager discovers a rule with high Confidence but very low Support. How should they evaluate this result?,"B. It is a ""rare rule"" strong for a specific small niche but lacks statistical significance for the whole store",Section B,Association Rules Mining
posttest1,sectionB_association_rules_mining_q10,"How would you modify the has_infrequent_subset procedure to find ""Closed Itemsets""?",C. By checking if any superset S has Support(S) = Support(C),Section B,Association Rules Mining
posttest1,sectionB_latent_dirichlet_allocation_q1,"In Latent Dirichlet Allocation (LDA), what does each topic represent?",B. A probability distribution over words,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q2,What is the role of the Dirichlet distribution in LDA?,C. It acts as a prior over topic distributions,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q3,Why is LDA considered a generative probabilistic model?,B. It describes how documents could be generated from latent topics,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q4,What is the key assumption LDA makes about documents?,C. Each document is a mixture of topics,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q5,"If a document has topic distribution θ = [0.7 Sports, 0.3 Politics], what does this imply?",B. 70% of words are generated from Sports topic,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q6,"During Gibbs Sampling in LDA, what is iteratively updated?",B. Topic assignments for each word,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q7,What happens if the number of topics K is too large?,B. Topics may become fragmented or incoherent,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q8,What is a primary ethical concern when using LDA on private messages without consent?,B. Privacy violation and lack of informed consent,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q9,Which factor is most critical from an ethical standpoint when deploying LDA for user profiling?,C. Ensuring transparency and user consent,Section B,Latent Dirichlet Allocation
posttest1,sectionB_latent_dirichlet_allocation_q10,How would you modify an LDA-based system to address privacy concerns?,B. Use anonymization or differential privacy techniques,Section B,Latent Dirichlet Allocation
posttest1,sectionB_linear_regression_q1,What is the primary goal of Simple Linear Regression?,B. To model the relationship between one independent and one dependent variable using a straight line,Section B,Linear Regression
