subject_code,subject_name,credits,outline_link,outline,level_id
CH5721,Công nghiệp công nghệ sinh học - Industrial Biotechnology,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065316&manganh=8420201,,CH
CH5723,Kỹ thuật di truyền vi sinh vật - Microbial Gene Engineering,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065317&manganh=8420201,,CH
CH5725,Công nghệ sản xuất protein tái tổ hợp - Recombinant protein technology,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065318&manganh=8420201,"{'knowledge': ['Hiểu biết về các ứng dụng của protein tái tổ hợp trong lĩnh vực sức khỏe con người và sản xuất công nghiệp.', 'Nắm vững cấu trúc, chức năng và hoạt tính của protein/enzyme.', 'Phân biệt được sự giống và khác nhau giữa protein tái tổ hợp và protein cùng loại thu được từ tự nhiên.', 'Kiến thức về các kỹ thuật gene và protein – enzyme để xây dựng vector tái tổ hợp mang gene biểu hiện protein đích.', 'Sự khác biệt cơ bản trong thiết kế quy trình tạo dòng (cloning) một gene từ nguồn gen prokaryote và eukaryote.', 'Sự khác biệt cơ bản về biểu hiện protein tái tổ hợp ở hệ thống tế bào chủ prokaryote và eukaryote, cũng như các phương pháp đánh giá.', 'Nắm được cách thức và quy mô nuôi cấy một hệ thống biểu hiện protein tái tổ hợp.', 'Cơ sở và các kỹ thuật thu hồi, tinh sạch, bảo quản protein tái tổ hợp, cùng phương thức đánh giá hoạt tính protein/enzyme.', 'Các kỹ thuật cải biến protein tái tổ hợp bằng cách cải biến gene để đạt tới sản phẩm có đặc tính ưu việt hơn.', 'Một số quy trình sản xuất protein tái tổ hợp tiêu biểu.'], 'skills': ['Có khả năng đánh giá hoặc tự xây dựng một quy trình sản xuất protein tái tổ hợp cơ bản từ gene có nguồn gốc tế bào prokaryote hoặc eukaryote.', 'Có khả năng áp dụng các cách thức cải biến protein tái tổ hợp để đạt tới sản phẩm có đặc tính ưu việt hơn.', 'Có khả năng đánh giá hiệu suất của quá trình nuôi cấy một hệ thống biểu hiện protein tái tổ hợp.', 'Biết lựa chọn và áp dụng một số quy trình thu hồi, tinh sạch, bảo quản protein và phương thức đánh giá hoạt tính protein/enzyme vào quy trình sản xuất.', 'Có khả năng phân biệt sự khác nhau cơ bản trong thiết kế quy trình tạo dòng gene và biểu hiện protein tái tổ hợp ở các hệ thống tế bào chủ khác nhau.', 'Có khả năng thiết lập mới hoặc đánh giá một quy trình sản xuất protein tái tổ hợp đã công bố, đầy đủ từ gene đến sản phẩm protein.'], 'attitude': 'Không có thông tin', 'textbooks': ['Bernard R. Glick, Jack J. Pasternak, and Cheryl L. Patten, 2010. Molecular biotechnology: principles and applications of recombinant DNA— 4th ed. ISBN 978-1-55581-498-4. Nhà suất bản ASM Press-Washington DC.', 'Hồ Huỳnh Thùy Dương, 2003. Sinh học phân tử. Nhà xuất bản Giáo dục. Call No. 572.8 HO- D c.3.', 'Lehninger Lehninger Principles of Biochemistry - ISBN: 9781464126116. W. H. Freeman.'], 'brief_summary': 'Môn học này trang bị kiến thức về các kỹ thuật gene, protein và enzyme được ứng dụng để thiết kế một quy trình sản xuất protein tái tổ hợp. Nội dung bao gồm từ việc xây dựng vector mang gene biểu hiện protein đích, sản xuất protein tái tổ hợp từ nuôi cấy đến thu hồi, tinh sạch, bảo quản, cùng với các kỹ thuật cải biến gene để đạt sản phẩm có đặc tính ưu việt.'}",CH
CH5727,Kỹ thuật sản xuất sinh khối vi sinh vật - Microbiomass Engineering,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065319&manganh=8420201,,CH
CH5729,Kỹ thuật cố định enzyme và tế bào - Immobilization of Enzyme and Cell,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065320&manganh=8420201,"{'knowledge': 'Sinh viên sẽ nắm vững các khái niệm cơ bản về enzyme và tế bào cố định, bao gồm ưu nhược điểm và các phương pháp cố định. Họ sẽ tìm hiểu về các vật liệu chất mang cơ bản như hữu cơ, vô cơ, tự nhiên và tổng hợp. Khóa học trang bị kiến thức về kỹ thuật cố định enzyme và tế bào, cũng như các ứng dụng rộng rãi của chúng trong nhiều lĩnh vực công nghiệp như thực phẩm, dược phẩm, xử lý sinh học, sản xuất chất tẩy rửa và dệt may.', 'skills': 'Sinh viên sẽ có khả năng cập nhật và đánh giá các nghiên cứu mới liên quan đến cố định enzyme/tế bào. Họ sẽ phát triển kỹ năng làm việc nhóm, thuyết trình, phân tích, đánh giá, thu thập và đọc tài liệu, cũng như viết báo cáo seminar. Ngoài ra, sinh viên còn được thực hành kiến tập quy trình cố định enzyme/tế bào cơ bản trên chất mang.', 'attitude': 'Không có thông tin', 'textbooks': ['Linqiu Cao, Carrier - Bound Immobilized Enzymes : Principles, Applications and Design, Germany : Wiley - VCH, 2005.', 'Gordon F. Bickerstaff, Immobilization of Enzymes and Cells, Totowa, N.J. : Humana Press, 1997.', 'M. Prakash., Enzyme biotechnology, NewDelhi : Discovery, 2007.'], 'brief_summary': 'Môn học giới thiệu về kỹ thuật cố định enzyme và tế bào, một công nghệ sinh học công nghiệp thiết yếu. Sinh viên sẽ tìm hiểu các phương pháp, vật liệu chất mang và những ưu nhược điểm của chúng. Khóa học cũng tập trung vào các ứng dụng rộng rãi của enzyme/tế bào cố định trong nhiều lĩnh vực, từ công nghiệp thực phẩm đến y học và xử lý môi trường.'}",CH
CH5731,Công nghệ sinh học nông nghiệp - Agricultural biotechnology,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065322&manganh=8420201,,CH
CH5733,Công nghệ sinh học môi trường - Biotechnology in Environment,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065323&manganh=8420201,"{'knowledge': 'Sinh viên sẽ nắm vững các nguyên lý cơ bản của quá trình sinh học ứng dụng trong xử lý chất thải và chất ô nhiễm. Bao gồm việc phân biệt các khái niệm chất thải, chất độc và chất ô nhiễm, hiểu tính chất các dạng chất này, và nguyên lý chuyển hóa sinh học bởi vi sinh vật và thực vật. Đồng thời, sinh viên sẽ được trang bị kiến thức về các công nghệ chính sử dụng vi sinh vật và thực vật để làm sạch môi trường.', 'skills': 'Sinh viên sẽ có khả năng đánh giá, vận dụng kiến thức để thiết lập và thiết kế các quy trình sinh học (vi sinh vật hoặc thực vật) nhằm chuyển hóa, giảm thiểu hoặc loại bỏ chất ô nhiễm. Môn học cũng giúp sinh viên áp dụng các công nghệ vi sinh vật và công nghệ trồng cây để xử lý chất thải. Ngoài ra, sinh viên còn phát triển kỹ năng cá nhân và làm việc nhóm trong việc tra cứu tài liệu, chuẩn bị và trình bày dự án, cũng như khả năng làm việc trong lĩnh vực xử lý môi trường bằng phương pháp sinh học.', 'attitude': 'Không có thông tin', 'textbooks': ['Hans-Joachim Jördening and Josef Winter, 2014: Giáo trình “ Công nghệ sinh học môi trường ”, bản dịch từ cuối “ Environmental Biotechnology: Concepts and Applications . Wiley Press. NXB ĐHQG-HCM, 488 trang. Call No. 628.5 JO- H.', 'Ian L. Pepper, Charles P. Gerba, Terry J. Gentry, 2015, Environmental microbiology 3rd edition ; ISBN: 9780123946263. London : Elsevier Publisher, 705 p. Call No. 579 PE-I.'], 'brief_summary': 'Môn học này tập trung vào việc ứng dụng các quá trình sinh học sử dụng vi sinh vật và thực vật để biến đổi chất thải, giảm độc tính và loại bỏ chất ô nhiễm, từ đó làm sạch môi trường. Sinh viên sẽ được học về các nguyên lý cơ bản, tầm quan trọng của công nghệ sinh học môi trường, các khái niệm về chất thải, chất độc, chất ô nhiễm, cùng với các công nghệ xử lý tiên tiến bằng vi sinh vật và thực vật.'}",CH
CH5735,Công nghệ sinh học y dược - Biotechnology in Medicine,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065324&manganh=8420201,,CH
CH5737,Năng lượng sinh khối - Biomass energy,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065325&manganh=8420201,,CH
CH5739,Công nghệ sinh học thực phẩm - Food biotechnology,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065326&manganh=8420201,"{'knowledge': 'Sinh viên sẽ cập nhật và hệ thống hóa kiến thức mới, thành tựu trong lĩnh vực công nghệ sinh học thực phẩm; hiểu biết sâu về ảnh hưởng của công nghệ sinh học đến chế biến, bảo quản thực phẩm, dinh dưỡng và an toàn thực phẩm. Nắm vững các quá trình và công nghệ sản xuất sản phẩm thực phẩm sử dụng công nghệ sinh học, bao gồm yêu cầu kỹ thuật, quy trình, thông số, tinh sạch, quản lý chất thải, thiết bị, yêu cầu chất lượng và tính chất sản phẩm. Đồng thời, tìm hiểu về hoạt tính sinh học, tính chất chức năng của sản phẩm, công nghệ sản xuất enzyme, chất thay thế, phụ gia, thành phần thực phẩm, cố định tế bào vi sinh vật và thực vật nuôi cấy, cũng như thiết bị phản ứng sinh học. Khóa học cũng trang bị kiến thức về công nghệ sinh học ứng dụng cho vitamin, chất hoạt tính sinh học, thủy sản, rau quả, hạt, cùng với các khía cạnh pháp luật và xã hội, bao gồm rủi ro đến môi trường và người tiêu dùng.', 'skills': 'Sinh viên sẽ phát triển kỹ năng làm việc nhóm và giao tiếp hiệu quả bằng văn bản. Ngoài ra, sinh viên sẽ có khả năng thiết kế quy trình công nghệ sản xuất các sản phẩm thực phẩm sử dụng công nghệ sinh học theo yêu cầu, dự đoán các sự cố tiềm ẩn trong quy trình, phân tích nguyên nhân và đề xuất các giải pháp xử lý phù hợp cho các sự cố đó.', 'attitude': 'Không có thông tin', 'textbooks': ['Rai, V. R. (2016). Advances in Food Biotechnology . Wiley-Blackwell, USA, 752 pages.', 'Bhatia, S. C. (2017). Food Biotechnology . Woodhead Publishing, India, 427 pages.', 'Lee, B. H. (2015). Fundamentals of Food Biotechnology . Wiley Blackwell, USA, 560 pages.'], 'brief_summary': 'Môn học cập nhật kiến thức và thành tựu mới nhất về công nghệ sinh học thực phẩm, bao gồm ảnh hưởng của nó đến chế biến, bảo quản, dinh dưỡng và an toàn thực phẩm. Sinh viên sẽ nghiên cứu công nghệ sản xuất các sản phẩm thực phẩm ứng dụng công nghệ sinh học, từ yêu cầu kỹ thuật, quy trình đến giải pháp cải tiến và xử lý sự cố. Khóa học cũng giới thiệu các khía cạnh pháp luật và xã hội liên quan đến lĩnh vực này.'}",CH
CH5741,Quản lý chất lượng sản phẩm công nghệ sinh học - Quality Management System,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065327&manganh=8420201,,CH
CH5743,Enzyme trong công nghiệp - Enzymes in industry,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=065328&manganh=8420201,"{'knowledge': 'Kiến thức về các enzyme được sử dụng trong công nghiệp thực phẩm, nông nghiệp, mỹ phẩm, dược phẩm, nhiên liệu sinh học. Nắm vững khái niệm, đặc điểm chung, cơ chế và vai trò tác dụng của enzyme công nghiệp. Hiểu biết về cơ sở nền tảng các phương pháp thu nhận enzyme kỹ thuật. Kiến thức về động học của enzyme liên quan đến các mô hình toán học và thực tế công nghiệp. Hiểu rõ các phương pháp xác định và tối ưu hóa enzyme, cũng như các khía cạnh pháp lý đối với việc sử dụng chúng trong các ứng dụng công nghiệp. Đánh giá được hiệu quả kinh tế và vị trí thị trường của enzyme công nghiệp toàn cầu. Nắm rõ tác dụng của từng loại enzyme trong quy trình sản xuất.', 'skills': 'Nắm vững các kỹ thuật enzyme để đáp ứng yêu cầu của quá trình sinh học nhằm thay thế các quy trình hóa học truyền thống. Thực hiện các phương pháp thu nhận enzyme kỹ thuật. Đánh giá hiệu quả kinh tế và thị trường của enzyme công nghiệp. Có khả năng làm việc nhóm và thuyết trình. Khả năng phân tích, đánh giá và trao đổi trong các buổi học. Khả năng thu thập, đọc tài liệu, viết và báo cáo seminar. Thực hành kiến tập một số enzyme cơ bản.', 'attitude': 'Không có thông tin', 'textbooks': ['Nguyễn Thị Hiền, Công nghệ sản xuất enzym, protein và ứng dụng, Hà Nội : Giáo dục Việt Nam, 2012.', 'Jeanne C. Johnson, Industrial Enzymes : Recent Advances, New Jersey : Noyes Data Corporation, 1977.'], 'brief_summary': 'Môn học tập trung vào enzyme công nghiệp, bao gồm sản xuất, đặc điểm, cơ chế và ứng dụng đa dạng trong các lĩnh vực như thực phẩm, nông nghiệp, mỹ phẩm, dược phẩm và nhiên liệu sinh học. Sinh viên sẽ tìm hiểu về động học enzyme, phương pháp tối ưu hóa, các khía cạnh pháp lý cũng như hiệu quả kinh tế và vị trí thị trường của chế phẩm enzyme công nghiệp toàn cầu. Mục tiêu là trang bị kiến thức và kỹ thuật cần thiết để ứng dụng enzyme trong xúc tác sinh học công nghiệp.'}",CH
GK5009,Quản lý và lãnh đạo - Management and Leadership,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=505909&manganh=8420201,,CH
GK5011,Đổi mới sáng tạo & Khởi nghiệp - Innovation and Entrepreneurship,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=505910&manganh=8420201,,CH
GK5021,Đạo đức kinh doanh và trách nhiệm xã hội - Business Ethics and Corporate Social Responsibility,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=505922&manganh=8420201,"{'knowledge': 'Hiểu biết tổng thể, các khái niệm cốt lõi, các mô hình lý thuyết về hoạt động kinh doanh và mối quan hệ với xã hội. Kiến thức tổng quát về các lý thuyết đạo đức, trách nhiệm xã hội của doanh nghiệp (CSR) và phát triển bền vững. Nắm vững các lý thuyết nền tảng về CSR, đạo đức và quản lý mối quan hệ với các đối tượng hữu quan. Hiểu biết về đạo đức nghề nghiệp, các vấn đề liên quan đến đối tượng hữu quan bên trong và bên ngoài doanh nghiệp (chính phủ, khách hàng, môi trường, cộng đồng, người lao động). Kiến thức về quy trình hoạt động kinh doanh thể hiện sự đáp ứng của doanh nghiệp với các vấn đề đạo đức và xã hội, bao gồm quản trị tổ chức, báo cáo các hoạt động CSR, đạo đức quản lý và trách nhiệm bảo vệ môi trường.', 'skills': 'Kỹ năng làm việc nhóm. Kỹ năng viết báo cáo. Kỹ năng phân tích tình huống nghiên cứu về các vấn đề đạo đức kinh doanh và trách nhiệm xã hội.', 'attitude': 'Khả năng đưa ra các quyết định về chuẩn mực đạo đức nghề nghiệp. Trách nhiệm trong việc triển khai các hoạt động trách nhiệm xã hội tại doanh nghiệp. Ý thức về vai trò của doanh nghiệp như một công dân tốt của xã hội và trách nhiệm bảo vệ môi trường.', 'textbooks': ['David Chandler and W.B. Werther (2013), Corporate Social Responsibility: Stakeholder, Globalization and Sustainable Value Creation (3rd edition), Sage Publications', 'Paul Griseri and Nina Seppala (2010), Business Ethics and Corporate Social Responsibility (1st Ed.), Cengage Learning'], 'brief_summary': 'Môn học cung cấp sự hiểu biết tổng thể, các khái niệm cốt lõi, lý thuyết và mô hình về đạo đức kinh doanh, trách nhiệm xã hội (CSR) và mối quan hệ giữa doanh nghiệp với xã hội. Học viên sẽ được trang bị kiến thức để đưa ra các quyết định đạo đức nghề nghiệp và triển khai các hoạt động CSR hiệu quả trong bối cảnh toàn cầu hóa.'}",CH
GK5023,Quản lý dịch vụ - Service Management,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=505923&manganh=8420201,"{'knowledge': 'Môn học cung cấp các khái niệm và nguyên tắc cốt lõi về quản trị dịch vụ, bao gồm vai trò, bản chất, đặc trưng và phân loại dịch vụ; chiến lược dịch vụ; quy trình phát triển dịch vụ mới; các yếu tố trong tiếp xúc dịch vụ (như công nghệ, dịch vụ tự phục vụ, tam giác tiếp xúc, định hướng khách hàng, chuỗi lợi nhuận); định nghĩa, đo lường, đạt được và phục hồi chất lượng dịch vụ; quản lý chuỗi cung ứng và quan hệ cung ứng dịch vụ; cũng như việc ứng dụng truyền thông xã hội và thuê ngoài trong dịch vụ.', 'skills': 'Học viên sẽ phát triển kỹ năng quản trị dịch vụ trong các tổ chức kinh doanh, bao gồm khả năng hình thành chiến lược dịch vụ, phát triển dịch vụ mới, đánh giá tương tác dịch vụ, chất lượng dịch vụ và quan hệ cung ứng dịch vụ. Ngoài ra, học viên cũng sẽ có khả năng phân tích các tình huống kinh doanh liên quan đến dịch vụ và ra quyết định một cách có tri thức về dịch vụ.', 'attitude': 'Môn học hướng tới việc phát triển cho học viên tinh thần chủ động, tích cực tham gia và có đầy đủ tri thức trong việc ra quyết định về dịch vụ trong tổ chức.', 'textbooks': ['Borlodoi, S, Fitzsimmons, J. A., & Fitzsimmons, M.J. (2019). Service Management: Operations, Strategy, and Information Technology (9th Ed), McGraw-Hill.', 'Teboul, J. (2006). Service is Front Stage: Positioning Services for Value Advantage. Palgrave MacMillan.'], 'brief_summary': 'Môn học Quản lý Dịch vụ cung cấp cho học viên các kiến thức và kỹ năng toàn diện về quản trị dịch vụ trong các tổ chức kinh doanh. Nó tập trung vào việc hình thành chiến lược dịch vụ, phát triển dịch vụ mới, đánh giá chất lượng và quan hệ cung ứng dịch vụ, nhằm giúp học viên trở thành người đưa ra quyết định có tri thức về dịch vụ.'}",CH
GK5025,Quản lý dự án - Project Management,3,https://grad.hcmut.edu.vn/gv/front.php/capnhatdecuong/public/printdecuongcdio?option=tv&mamh=505924&manganh=8420201,"{'knowledge': ['Các lý thuyết và nguyên tắc cơ bản về quản lý dự án hiện đại.', 'Khái niệm về dự án và các động lực hiện tại của quản lý dự án.', 'Kiến thức về hành vi tổ chức trong quản lý dự án, bao gồm cấu trúc, văn hóa, lãnh đạo, nhóm dự án và mối quan hệ giữa các tổ chức.', 'Kiến thức về các giai đoạn trong vòng đời dự án: khởi đầu (chiến lược tổ chức, lựa chọn dự án), lập kế hoạch (xác định dự án, xây dựng sơ đồ mạng, quản lý rủi ro, lập tiến độ, rút ngắn thời gian), kiểm soát (quá trình kiểm soát, phương pháp giá trị làm ra) và kết thúc dự án.', 'Kiến thức giới thiệu về phần mềm MS. Project.'], 'skills': ['Đề xuất và khởi xướng dự án.', 'Xác định phạm vi và nhiệm vụ của dự án.', 'Lập kế hoạch và lập ngân sách cho dự án.', 'Phân tích và quản lý rủi ro dự án.', 'Kiểm soát và điều hành dự án.', 'Kỹ năng lãnh đạo dự án, xây dựng nhóm và giải quyết xung đột.', 'Sử dụng phần mềm MS. Project để lập kế hoạch và quản lý dự án.', 'Vận dụng các kiến thức quản lý dự án vào thực tiễn doanh nghiệp.'], 'attitude': ['Chú trọng và quan tâm đến khía cạnh “con người” trong quản lý dự án, bao gồm vai trò lãnh đạo, xây dựng đội nhóm hiệu quả và giải quyết xung đột để hoàn thành mục tiêu tổng thể của dự án.'], 'textbooks': ['Tài liệu bài giảng', 'Larson, E.W. and Gray, C. F. (2021). Project Management: The Managerial Process, Eighth Edition. McGraw-Hill International Edition.', 'Nicholas, J.M. & Steyn, H. (2021). Project Management for Engineering, Business and Technology, Sixth Edition. Routledge, London and New York.', 'Lewis, C., Chatfield, C. & Johnson, T. (2019). MS. Project 2019 step by step. Pearson Education, Inc.'], 'brief_summary': 'Môn học ""Quản lý Dự án"" cung cấp các kiến thức và kỹ năng toàn diện về quản lý dự án hiện đại, có thể áp dụng rộng rãi trong mọi ngành công nghiệp. Chương trình đào tạo học viên cách đề xuất, lập kế hoạch, kiểm soát, và kết thúc dự án, đồng thời nhấn mạnh vai trò của yếu tố con người trong thành công dự án.'}",CH
